"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.93958452766685e-60,0.267689386201258,1,0.999,7.12633859806497e-56,"0","Lpo"
9.34312373595211e-31,0.383081259077935,1,1,1.34793246138581e-26,"0","Gm14135"
6.06869892635446e-29,0.290900095480355,0.98,0.959,8.75531194105158e-25,"0","Slc27a2"
5.83874611355432e-28,0.272816108245414,1,1,8.42355901802482e-24,"0","Esp15"
2.00929854678814e-19,0.331066897370585,0.888,0.836,2.89881501345125e-15,"0","Esp31"
1.26674899623984e-11,0.290921476431453,0.619,0.519,1.82753877687521e-07,"0","Fgfbp1"
1.29962279467909e-11,0.309971131696146,0.625,0.531,1.87496580588353e-07,"0","Ly6f"
9.60016580366596e-10,0.26047786101984,0.575,0.482,1.38501592049489e-05,"0","Scgb1b19"
1.0220157181745e-09,0.282232594434455,0.56,0.468,1.47446207661035e-05,"0","Abo"
1.06868507593813e-09,0.382851699157998,0.442,0.36,1.54179195905594e-05,"0","Rimklb"
2.18420556382383e-08,0.311116904174055,0.406,0.323,0.000315115336692864,"0","Zfp787"
2.34211341681267e-08,0.31375106922332,0.456,0.376,0.000337896702643564,"0","Cyp2j13"
1.4162736914361e-07,0.425391318950796,0.242,0.18,0.00204325805463487,"0","Gm43674"
2.35780907120336e-07,0.405021211316723,0.228,0.168,0.00340161114702509,"0","D730003I15Rik"
3.86743213314708e-07,0.254292891929675,0.512,0.44,0.00557954433849129,"0","Gnmt"
4.74069855389903e-07,0.294514094746476,0.436,0.372,0.00683940580371013,"0","Scgb2b27"
1.27069720679331e-06,0.299826307144934,0.378,0.313,0.0183323486024071,"0","Oit1"
1.4990068052339e-06,0.350203822556577,0.271,0.211,0.0216261711791095,"0","Ttc39c"
2.08509372132443e-06,0.419102673356184,0.22,0.167,0.0300816471175476,"0","Ccdc149"
6.84268278157973e-06,0.282893074272585,0.317,0.257,0.0987193844898508,"0","Fkbp5"
1.14889693401251e-05,0.326743731017885,0.246,0.193,0.165751360669985,"0","Pyroxd2"
1.39904807715917e-05,0.29551814669742,0.338,0.281,0.201840666091753,"0","Pla2g12a"
1.49637214335484e-05,0.464355642509945,0.132,0.093,0.215881609121803,"0","Gm13539"
1.86213125111213e-05,0.321530093538562,0.287,0.233,0.268649675597948,"0","Klf15"
2.06183261124228e-05,0.405724093667369,0.191,0.145,0.297460590823924,"0","Fam221a"
2.17780031386838e-05,0.312596472585506,0.39,0.338,0.314191251281791,"0","Esp3"
3.51910536633517e-05,0.378797746515484,0.231,0.184,0.507701331201175,"0","Ica1"
5.88405525150488e-05,0.264257885699508,0.261,0.21,0.848892651134609,"0","Coq9"
7.22414849457466e-05,0.375733663846077,0.202,0.158,1,"0","Camsap3"
8.83065863952642e-05,0.341559728147325,0.231,0.186,1,"0","Gpt2"
0.000118604216290446,0.300594595470582,0.27,0.224,1,"0","Lipo4"
0.000192108354364484,0.253234333508518,0.248,0.202,1,"0","Mrps26"
0.000357957357538601,0.269542434921186,0.299,0.256,1,"0","Dgat2"
0.000374054574976504,0.477092625937418,0.121,0.09,1,"0","Mark1"
0.000405240866621828,0.256358525106429,0.222,0.181,1,"0","Pdhx"
0.00044110268844753,0.295083296605065,0.14,0.107,1,"0","Eprs"
0.000448546923499408,0.292473454544899,0.335,0.293,1,"0","Baiap2l1"
0.000590620677606427,0.45925477081708,0.117,0.088,1,"0","Egf"
0.000605238712539699,0.307514009410372,0.196,0.158,1,"0","Pex11g"
0.000699170979661486,0.323364699284768,0.131,0.099,1,"0","Xlr4c"
0.000703482862041007,0.299891813103406,0.203,0.166,1,"0","Tulp1"
0.000845967436700854,0.332440009462863,0.125,0.095,1,"0","Ccdc92b"
0.000912654791123009,0.325399024082289,0.131,0.1,1,"0","Sugp1"
0.000982232615558408,0.258036372585042,0.16,0.126,1,"0","Larp1b"
0.000996520921610839,0.302965369520035,0.171,0.137,1,"0","Ccl28"
0.00125103546400459,0.305552687201204,0.161,0.128,1,"0","Clpx"
0.00142452424283666,0.32612968757772,0.126,0.097,1,"0","Rars"
0.00148339543679018,0.259400623316385,0.252,0.213,1,"0","Fbf1"
0.00164107130675983,0.262935861090526,0.206,0.17,1,"0","Mettl9"
0.00188876300265095,0.396822964704602,0.149,0.119,1,"0","Fam210b"
0.00196946858649664,0.309154877399529,0.161,0.13,1,"0","Hook1"
